Customer_ID,Age,Sex,High_Risk_Country,Vulnerable_Area,Intention_International_Payments,Intention_Cash_Deposits
1,28,Male,False,False,True,False
2,80,Male,False,False,False,False
3,79,Female,False,False,False,False
4,34,Female,False,False,False,False
5,58,Male,False,False,False,False
6,30,Female,True,False,False,False
7,42,Male,False,False,True,True
8,37,Male,False,False,False,False
9,51,Female,False,False,False,False
10,24,Female,False,False,True,False
11,50,Male,False,False,False,False
12,68,Male,False,False,False,False
13,47,Female,False,False,False,False
14,69,Male,False,False,True,False
15,27,Male,False,False,False,True
16,52,Male,True,False,False,True
17,21,Female,False,False,True,False
18,43,Male,False,False,False,True
19,82,Female,False,False,True,False
20,44,Female,True,False,False,False
21,41,Female,True,False,False,True
22,60,Female,False,False,True,False
23,39,Female,False,False,False,False
24,29,Male,False,False,False,False
25,77,Male,False,False,False,False
26,65,Male,False,False,True,False
27,34,Male,True,False,False,True
28,81,Female,False,False,True,False
29,77,Male,False,False,False,False
30,19,Female,False,False,True,False
31,25,Male,False,False,True,False
32,49,Male,True,False,False,False
33,32,Male,False,False,False,False
34,47,Male,False,False,True,False
35,69,Female,False,False,False,False
36,53,Female,False,False,True,False
37,82,Male,False,False,False,False
38,63,Female,True,False,False,True
39,23,Female,True,False,False,False
40,39,Female,False,False,False,False
41,76,Male,False,False,True,False
42,31,Female,False,False,True,False
43,72,Female,False,False,False,False
44,39,Male,False,False,True,False
45,44,Female,False,False,False,False
46,47,Male,False,False,True,False
47,31,Female,False,False,True,False
48,25,Female,False,False,True,False
49,44,Female,False,False,True,False
50,20,Female,True,False,True,False
51,84,Female,False,False,True,False
52,54,Male,True,False,False,False
53,36,Female,False,False,False,False
54,49,Male,False,False,True,False
55,78,Female,False,False,False,False
56,61,Female,False,False,True,True
57,77,Male,False,False,False,False
58,30,Male,False,False,False,False
59,22,Male,False,False,True,True
60,70,Male,True,False,True,False
61,85,Female,False,False,False,False
62,28,Male,False,False,False,True
63,66,Female,False,False,True,False
64,30,Female,False,False,False,False
65,25,Male,True,False,True,False
66,53,Male,False,False,False,True
67,66,Female,True,False,False,False
68,85,Male,False,False,False,False
69,57,Male,False,False,True,False
70,81,Female,False,False,True,False
71,24,Female,False,False,True,False
72,77,Male,False,False,False,False
73,23,Male,True,False,False,False
74,24,Male,False,True,True,False
75,76,Female,False,True,False,False
76,30,Female,False,False,False,False
77,31,Male,False,False,False,False
78,50,Female,False,False,True,False
79,28,Female,False,False,False,False
80,30,Female,True,False,False,False
81,80,Female,False,False,True,True
82,58,Male,False,False,False,False
83,36,Male,False,False,False,False
84,73,Male,True,False,False,False
85,69,Female,True,False,True,True
